"primary_id","description","type","currency","counter_currency"
"USD","US Dollar","currency",,
"JPY","Japanese Yen","currency",,
"CAD","Canadian Dollar","currency",,
"AUD","Australian Dollar","currency",,
"GBP","British Pound","currency",,
"EUR","Euro","currency",,
"SGD","Singapore Dollar","currency",,
"BRL","Brazil Real","currency",,
"CNY","China Yuan Renminbi","currency",,
"ZAR","South Africa Rand","currency",,
"AED","United Arab Emirates, Dirhams","currency",,
"KRW","Korea (South), Won","currency",,
"HKD","Hong Kong Dollar","currency"," ",
"USDEUR",,"exchange_rate","EUR","USD"
"EURUSD",,"exchange_rate","USD","EUR"
"USDJPY",,"exchange_rate","JPY","USD"
"JPYEUR",,"exchange_rate","EUR","JPY"
"USDAUD",,"exchange_rate","AUD","USD"
"USDSGD",,"exchange_rate","SGD","USD"
"EURSGD",,"exchange_rate","SGD","EUR"
"USDBRL",,"exchange_rate","BRL","USD"
"EURZAR",,"exchange_rate","ZAR","EUR"
"EURAED",,"exchange_rate","AED","EUR"
"USDKRW",,"exchange_rate","KRW","USD"
"USDHKD",,"exchange_rate","HKD","USD"
