X.RIC,type,primary_id,suffix_id,series_description,first_traded,first_notice,expires,settle_date,expiration_detail,underlying_RIC
AEXF0,future_series,AEX,F0,AEX FUT JAN0,1999-01-18,,2010-01-15,2010-01-16,21-JAN-2000->15-JAN-2010,.AEX
AEXG0,future_series,AEX,G0,AEX FUT FEB0,1999-11-23,,2010-02-19,2010-02-20,18-FEB-2000->19-FEB-2010,.AEX
AEXH0,future_series,AEX,H0,AEX FUT MAR0,1999-12-17,,2010-03-19,2010-03-20,17-MAR-2000->19-MAR-2010,.AEX
AEXJ0,future_series,AEX,J0,AEX FUT APR0,1999-04-17,,2010-04-16,2010-04-17,21-APR-2001->21-APR-2000->20-APR-2000->16-APR-2010,.AEX
AEXK0,future_series,AEX,K0,AEX FUT MAY0,2000-01-24,,2010-05-21,2010-05-22,19-MAY-2000->21-MAY-2010,.AEX
AEXM0,future_series,AEX,M0,AEX FUT JUN0,2000-03-19,,2010-06-18,2010-06-19,16-JUN-2000->18-JUN-2010,.AEX
AEXN0,future_series,AEX,N0,AEX FUT JUL0,1999-07-17,,2010-07-16,2010-07-17,21-JUL-2000->16-JUL-2010,.AEX
AEXQ0,future_series,AEX,Q0,AEX FUT AUG0,2000-05-19,,2010-08-20,2010-08-21,18-AUG-2000->20-AUG-2010,.AEX
AEXU0,future_series,AEX,U0,AEX FUT SEP0,2000-06-19,,2010-09-17,2010-09-18,15-SEP-2000->17-SEP-2010,.AEX
AEXV0,future_series,AEX,V0,AEX FUT OCT0,1999-10-18,,2010-10-15,2010-10-16,20-OCT-2000->15-OCT-2010,.AEX
AEXX0,future_series,AEX,X0,AEX FUT NOV0,2000-08-18,,2010-11-19,2010-11-20,17-NOV-2000->19-NOV-2010,.AEX
AEXZ0,future_series,AEX,Z0,AEX FUT DEC0,1999-11-22,,2010-12-17,2010-12-18,15-DEC-2000->17-DEC-2010,.AEX
AUBH0,future_series,AUB,H0,ULTRA BOND MAR0,2009-12-21, ,2010-03-22,2010-04-03,22-MAR-2010,
AUBM0,future_series,AUB,M0,ULTRA BOND JUN0,2009-12-21,,2010-06-21,2010-06-26,21-JUN-2010,
AUBU0,future_series,AUB,U0,ULTRA BOND SEP0,2009-12-21,,2010-09-21,2010-09-25,21-SEP-2010,
AUBZ0,future_series,AUB,Z0,ULTRA BOND DEC0,2010-03-23,,2010-12-21,2010-12-25,21-DEC-2010,
BL2F0,future_series,BL2,F0,M.WHEAT FRF JAN0->M.WHEAT EUR JAN0,1998-09-14,,2010-01-11,2010-01-16,10-JAN-2000->11-JAN-2010,
BL2H0,future_series,BL2,H0,M.WHEAT FRF MAR0->M.WHEAT EUR MAR0,1998-11-12,,2010-03-10,2010-03-13,10-MAR-2000->10-MAR-2010,
BL2K0,future_series,BL2,K0,M.WHEAT EUR MAY0,1999-01-12,,2010-05-10,2010-05-15,10-MAY-2000->10-MAY-2010,
BL2Q0,future_series,BL2,Q0,M.WHEAT EUR AUG0->M.WHEATEU AUG0,2009-01-13,,2010-08-10,2010-08-14,10-AUG-2010,
BL2X0,future_series,BL2,X0,M.WHEAT EUR NOV0->M.WHEATEU NOV0,1999-05-11,,2010-11-10,2010-11-13,10-NOV-2000->10-NOV-2010,
